iter	Passed	Remaining
552	2508	2027
553	2509	2020
554	2511	2013
555	2512	2006
556	2514	1999
557	2515	1992
558	2517	1986
559	2518	1979
560	2520	1972
561	2522	1966
562	2523	1959
563	2525	1952
564	2526	1945
565	2528	1938
566	2530	1932
567	2532	1925
568	2533	1919
569	2535	1912
570	2536	1905
571	2538	1899
572	2539	1892
573	2541	1885
574	2542	1879
575	2543	1872
576	2545	1866
577	2547	1859
578	2548	1853
579	2550	1846
580	2551	1840
581	2553	1833
582	2554	1827
583	2556	1820
584	2557	1814
585	2558	1807
586	2560	1801
587	2561	1794
588	2563	1788
589	2564	1782
590	2565	1775
591	2567	1769
592	2569	1763
593	2570	1756
594	2571	1750
595	2573	1744
596	2575	1738
597	2576	1732
598	2578	1726
599	2579	1719
600	2581	1713
601	2582	1707
602	2583	1701
603	2585	1694
604	2586	1688
605	2587	1682
606	2589	1676
607	2591	1670
608	2592	1664
609	2594	1658
610	2595	1652
611	2597	1646
612	2598	1640
613	2599	1634
614	2601	1628
615	2602	1622
616	2605	1617
617	2606	1611
618	2608	1605
619	2609	1599
620	2611	1593
621	2612	1587
622	2613	1581
623	2615	1575
624	2616	1569
625	2617	1564
626	2619	1558
627	2621	1552
628	2623	1547
629	2624	1541
630	2626	1535
631	2627	1530
632	2629	1524
633	2630	1518
634	2632	1512
635	2633	1507
636	2635	1502
637	2637	1496
638	2638	1490
639	2640	1485
640	2641	1479
641	2642	1473
642	2644	1468
643	2645	1462
644	2647	1456
645	2648	1451
646	2650	1446
647	2651	1440
648	2653	1435
649	2654	1429
650	2656	1423
651	2657	1418
652	2658	1412
653	2660	1407
654	2661	1401
655	2663	1396
656	2664	1391
657	2666	1386
658	2668	1380
659	2669	1375
660	2670	1369
661	2672	1364
662	2673	1359
663	2675	1353
664	2676	1348
665	2678	1343
666	2680	1338
667	2681	1332
668	2682	1327
669	2684	1322
670	2685	1316
671	2687	1311
672	2688	1306
673	2689	1301
674	2691	1295
675	2692	1290
676	2695	1286
677	2699	1281
678	2701	1277
679	2702	1271
680	2704	1266
681	2705	1261
682	2707	1256
683	2709	1251
684	2711	1246
685	2713	1241
686	2715	1237
687	2717	1232
688	2718	1227
689	2720	1222
690	2722	1217
691	2725	1212
692	2726	1207
693	2728	1203
694	2730	1198
695	2731	1193
696	2733	1188
697	2734	1183
698	2736	1178
699	2738	1173
700	2740	1168
701	2741	1163
702	2743	1158
703	2744	1153
704	2745	1149
705	2747	1144
706	2748	1139
707	2750	1134
708	2751	1129
709	2754	1124
710	2755	1120
711	2757	1115
712	2758	1110
713	2760	1105
714	2761	1100
715	2762	1095
716	2764	1091
717	2765	1086
718	2767	1081
719	2769	1077
720	2771	1072
721	2772	1067
722	2774	1062
723	2775	1058
724	2776	1053
725	2778	1048
726	2779	1043
727	2781	1039
728	2782	1034
729	2785	1030
730	2786	1025
731	2788	1020
732	2789	1016
733	2790	1011
734	2792	1006
735	2793	1002
736	2795	997
